text,adjective_count,adverb_count,noun_count,verb_count,flesch_reading_ease,flesch_kincaid_grade_level,gunning_fog_scale,coleman_liau_index,linsear_write_formula,dale_chall_readability,mcalpine_eflaw_readability,reading_time,syllable_count,lexicon_count,polysyllable_count,monosyllable_count,conjunction_count,pronoun_count,stopword_count,present_tense_count,past_tense_count,label
says annies list political group supports third trimester abortions demand,0.15384615384615385,0.0,0.2272727272727273,0.14285714285714285,0.7202717468763361,0.3527397260273972,0.23506493506493498,0.6206817661862275,0.15492957746478875,0.6241134751773049,0.1506849315068493,0.18685831622176596,0.16129032258064518,0.15254237288135594,0.07142857142857142,0.1111111111111111,0.0,0.0,0.05555555555555555,0.3333333333333333,0.0,4
decline coal start started natural gas took started begin president george bushs administration,0.07692307692307693,0.2857142857142857,0.3181818181818182,0.23809523809523808,0.755665352273267,0.3253424657534246,0.2922077922077922,0.4086021505376345,0.18309859154929578,0.414450354609929,0.19863013698630136,0.3244353182751541,0.3548387096774194,0.3728813559322034,0.21428571428571427,0.31481481481481477,0.0,0.1,0.2777777777777778,0.0,0.4444444444444444,2
hillary clinton agrees john mccain voting give george bush benefit doubt iran,0.07692307692307693,0.0,0.3181818181818182,0.14285714285714285,0.802270891728823,0.3390410958904109,0.28928571428571426,0.39052848318462596,0.29577464788732394,0.5647163120567376,0.3150684931506849,0.23203285420944564,0.22580645161290322,0.28813559322033894,0.07142857142857142,0.2777777777777778,0.0,0.0,0.19444444444444442,0.2222222222222222,0.0,1
chicago bears starting quarterbacks last years total number tenured uw faculty fired last two decades,0.46153846153846156,0.14285714285714285,0.3181818181818182,0.14285714285714285,0.7636942372559266,0.4452054794520548,0.4207792207792207,0.4303363074811256,0.4366197183098592,0.524822695035461,0.4794520547945206,0.35934291581108835,0.3548387096774194,0.423728813559322,0.14285714285714285,0.37037037037037035,0.0,0.0,0.3055555555555555,0.1111111111111111,0.2222222222222222,0
person stage worked actively last year passing along russ feingold toughest ethics reform since watergate,0.23076923076923078,0.2857142857142857,0.3181818181818182,0.19047619047619047,0.7235023041474653,0.48630136986301364,0.4207792207792207,0.44497826584305655,0.4366197183098592,0.4472517730496453,0.4383561643835616,0.36960985626283377,0.3655913978494624,0.423728813559322,0.14285714285714285,0.35185185185185186,0.0,0.1,0.3055555555555555,0.2222222222222222,0.2222222222222222,2
says gop primary opponents glenn grothman joe leibham cast compromise vote cost million higher electricity costs,0.23076923076923078,0.0,0.4545454545454546,0.09523809523809523,0.6720509287852153,0.48630136986301364,0.43214285714285705,0.4991992679020819,0.4084507042253521,0.6338652482269502,0.3424657534246575,0.30800821355236147,0.33333333333333337,0.3220338983050847,0.2857142857142857,0.24074074074074073,0.2,0.0,0.08333333333333333,0.1111111111111111,0.1111111111111111,1
first time history share national popular vote margin smaller latino vote margin,0.38461538461538464,0.0,0.3181818181818182,0.047619047619047616,0.7122428618936766,0.4452054794520548,0.3704545454545454,0.39830702356440173,0.38028169014084506,0.36746453900709214,0.3698630136986301,0.25872689938398363,0.30107526881720437,0.3220338983050847,0.21428571428571427,0.25925925925925924,0.0,0.0,0.25,0.1111111111111111,0.0,1
since nearly million americans slipped middle class poverty,0.07692307692307693,0.14285714285714285,0.13636363636363635,0.09523809523809523,0.7765689581452799,0.3390410958904109,0.26298701298701294,0.4353694806680394,0.22535211267605634,0.36480496453900707,0.2602739726027397,0.2073921971252567,0.21505376344086025,0.23728813559322035,0.07142857142857142,0.18518518518518517,0.2,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,2
mitt romney governor massachusetts didnt slow rate growth government actually cut,0.0,0.42857142857142855,0.3181818181818182,0.19047619047619047,0.7074445341821463,0.45890410958904104,0.4366883116883116,0.4076870281400138,0.4225352112676056,0.39361702127659565,0.410958904109589,0.27926078028747436,0.33333333333333337,0.3389830508474576,0.2857142857142857,0.2962962962962963,0.0,0.4,0.3055555555555555,0.1111111111111111,0.2222222222222222,4
affordable care act already sense waived otherwise suspended,0.15384615384615385,0.2857142857142857,0.13636363636363635,0.19047619047619047,0.7765689581452799,0.3390410958904109,0.3441558441558441,0.4353694806680394,0.3098591549295775,0.3209219858156028,0.273972602739726,0.21149897330595485,0.21505376344086025,0.23728813559322035,0.21428571428571427,0.2222222222222222,0.2,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,3
last election november percent american people chose vote percent young people percent low income workers chose vote,0.38461538461538464,0.2857142857142857,0.36363636363636365,0.19047619047619047,0.8040286949498787,0.2602739726027397,0.10779220779220779,0.3525509036833677,0.15492957746478875,0.31249999999999994,0.1780821917808219,0.4188911704312116,0.4408602150537635,0.4915254237288136,0.21428571428571427,0.38888888888888884,0.2,0.0,0.3333333333333333,0.0,0.2222222222222222,2
mccain opposed requirement government buy american made motorcycles said buy american provisions quote disgraceful,0.3076923076923077,0.0,0.2272727272727273,0.2857142857142857,0.6069171932158297,0.4520547945205479,0.37077922077922076,0.6085563944177534,0.20422535211267606,0.47030141843971623,0.14383561643835616,0.35318275154004114,0.3655913978494624,0.28813559322033894,0.5,0.18518518518518517,0.2,0.1,0.16666666666666666,0.1111111111111111,0.4444444444444444,0
water rates manila philippines raised percent subsidiary world bank became partial owner,0.15384615384615385,0.14285714285714285,0.3181818181818182,0.19047619047619047,0.7476364672906075,0.41780821917808214,0.2597402597402597,0.41294898192633267,0.3098591549295775,0.45744680851063824,0.3835616438356164,0.2833675564681725,0.29032258064516137,0.3389830508474576,0.0,0.25925925925925924,0.0,0.0,0.19444444444444442,0.0,0.3333333333333333,2
almost people left puerto rico last year,0.15384615384615385,0.14285714285714285,0.13636363636363635,0.047619047619047616,0.7749536795097153,0.2705479452054794,0.07792207792207792,0.41317776252573785,0.08450704225352113,0.5221631205673758,0.0821917808219178,0.09650924024640659,0.0967741935483871,0.1016949152542373,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.1111111111111111,1
women men making less adjust inflation john kitzhaber first elected governor,0.15384615384615385,0.42857142857142855,0.2272727272727273,0.23809523809523808,0.7572806309088316,0.39041095890410954,0.3636363636363636,0.44749485243651344,0.3380281690140845,0.40868794326241126,0.3287671232876712,0.26488706365503084,0.26881720430107525,0.30508474576271183,0.14285714285714285,0.25925925925925924,0.2,0.1,0.25,0.3333333333333333,0.2222222222222222,4
best year auto industry america history,0.07692307692307693,0.14285714285714285,0.2272727272727273,0.047619047619047616,0.746021188655043,0.3527397260273972,0.2487012987012987,0.3212079615648593,0.2535211267605634,0.2353723404255319,0.2602739726027397,0.14168377823408626,0.19354838709677422,0.2033898305084746,0.21428571428571427,0.18518518518518517,0.0,0.1,0.2222222222222222,0.0,0.1111111111111111,1
says mitt romney wants get rid planned parenthood,0.15384615384615385,0.0,0.13636363636363635,0.14285714285714285,0.8456933821084136,0.2191780821917808,0.23376623376623373,0.3804621368107985,0.14084507042253522,0.5265957446808509,0.1643835616438356,0.11088295687885011,0.10752688172043012,0.13559322033898305,0.07142857142857142,0.14814814814814814,0.0,0.0,0.05555555555555555,0.2222222222222222,0.0,3
